id	description	en	local
def_seat_compact_node_13_label		Headset Audio	耳机音频
def_seat_compact_node_13_desc			
def_seat_harness_name		Harness	安全带
def_seat_harness_desc		You can get in and out of the harness by interacting with it using [$[action_use_seat]]. You can place a rescued survivor in any harness by using [$[action_use_seat]] while carrying them.	您可以通过使用[$[action_use_seat]]与它交互来进出安全带。您可以在携带获救幸存者时使用 [$[action_use_seat]]将其放置在任何安全带中。
def_seat_harness_s_desc		A rescue harness.	救生带。
def_seat_harness_node_0_label		Occupied	占用
def_seat_harness_node_0_desc		Outputs an on signal if this harness is occupied by a character.	如果此座位被角色占用，则输出打开信号。
def_seat_harness_node_1_label		Hotkey 1 [$[action_hotkey_1]]	热键1[$[action_hotkey_1]]
def_seat_harness_node_1_desc		Outputs an on signal when [$[action_hotkey_1]] is held, and off when it is not.	按住[$[action_hotkey_1]]时输出打开信号，不按住时输出关闭信号。
def_seat_harness_node_2_label		Hotkey 2 [$[action_hotkey_2]]	热键2[$[action_hotkey_2]]
def_seat_harness_node_2_desc		Outputs an on signal when [$[action_hotkey_2]] is held, and off when it is not.	按住[$[action_hotkey_2]]时输出打开信号，不按住时输出关闭信号。
def_seat_harness_node_3_label		Hotkey 3 [$[action_hotkey_3]]	热键3[$[action_hotkey_3]]
def_seat_harness_node_3_desc		Outputs an on signal when [$[action_hotkey_3]] is held, and off when it is not.	按住[$[action_hotkey_3]时输出打开信号，不按住时输出关闭信号。
def_seat_harness_node_4_label		Hotkey 4 [$[action_hotkey_4]]	热键4[$[action_hotkey_4]]
def_seat_harness_node_4_desc		Outputs an on signal when [$[action_hotkey_4]] is held, and off when it is not.	按住[$[action_hotkey_4]]时输出打开信号，不按住时输出关闭信号。
def_seat_harness_node_5_label		Hotkey 5 [$[action_hotkey_5]]	热键5[$[action_hotkey_5]]
def_seat_harness_node_5_desc		Outputs an on signal when [$[action_hotkey_5]] is held, and off when it is not.	在按住[$[action_hotkey_5]]时输出打开信号，在不按住时输出关闭信号。
def_seat_harness_node_6_label		Hotkey 6 [$[action_hotkey_6]]	热键6[$[action_hotkey_6]]
def_seat_harness_node_6_desc		Outputs an on signal when [$[action_hotkey_6]] is held, and off when it is not.	在按住[$[action_hotkey_6]]时输出打开信号，在不按住时输出关闭信号。
def_seat_harness_node_7_label		Seat Data	座椅数据
def_seat_harness_node_7_desc		Outputs the axis, hotkey and occupied data from the seat. (On/Off 1+ : Hotkeys) (On/Off 32 : Occupied) (Value 1 : [$[action_left]]/[$[action_right]]) (Value 2 : [$[action_up]]/[$[action_down]]) (Value 3 : [$[action_pedal_left]]/[$[action_pedal_right]]) (Value 4 : [$[action_throttle_up]]/[$[action_throttle_down]])	从座椅输出轴、热键和占用数据。（开/关1+：热键）（开/关32：已占用）（值1:[$[action_left]]/[$[action_right]]）（值2:[$[action_up]]/[$[action_down]]）（值3:[$[action_pedal_left]]/[$[action_pedal_right]]）（值4:[$[action_throttle_up]]/[$[action_throttle_down]]）
def_seat_helm_name		Helm	轮舵
def_seat_helm_desc		You can get in and out of the position by interacting with it using [$[action_use_seat]]. You can place a rescued survivor in any position by using [$[action_use_seat]] while carrying them.	您可以通过使用 [$[action_use_seat]]与之交互来进出该位置。你可以在携带幸存者时使用 [$[action_use_seat]]将获救的幸存者放置在任何位置。
def_seat_helm_s_desc		A steering helm with steering wheel.	带方向盘的轮舵。
def_seat_helm_node_0_label		Occupied	占用
def_seat_helm_node_0_desc		Outputs an on signal if the helm is occupied by a character.	如果轮舵被一个角色占用，则输出一个打开信号。
def_seat_helm_node_1_label		Axis 1 [$[action_left]]/[$[action_right]]	轴1[$[action_left]]/[$[action_right]]
def_seat_helm_node_1_desc		Outputs a standard value between -1 and 1, controlled using [$[action_left]] and [$[action_right]]. [$[action_left]] causes the output value to move towards -1, and [$[action_right]] moves it towards 1.	输出一个介于-1和1之间的标准值，使用[$[action_left]]和[$[action_right]]进行控制。[$[action_left]]使输出值向-1移动，[$[action_right]]将其向1移动。
def_seat_helm_node_2_label		Axis 2 [$[action_up]]/[$[action_down]]	轴2[$[action_up]/[$[action_down]]
def_seat_helm_node_2_desc		Outputs a standard value between -1 and 1, controlled using [$[action_up]] and [$[action_down]]. [$[action_down]] causes the output value to move towards -1, and [$[action_up]] moves it towards 1.	输出一个介于-1和1之间的标准值，使用[$[action_up]]和[$[action_down]]进行控制。[$[action_down]]使输出值向-1移动，[$[action_up]]将其向1移动。
def_seat_helm_node_3_label		Axis 3 [$[action_pedal_left]]/[$[action_pedal_right]]	轴3 [$[action_pedal_left]] and [$[action_pedal_right]]
def_seat_helm_node_3_desc		Outputs a standard value between -1 and 1, controlled using [$[action_pedal_left]] and [$[action_pedal_right]]. [$[action_pedal_left]] causes the output value to move towards -1, and [$[action_pedal_right]] moves it towards 1.	输出一个介于-1和1之间的标准值，使用 [$[action_pedal_left]] and [$[action_pedal_right]]进行控制。[$[action_pedal_left]]使输出值向-1移动，[$[action_pedal_right]]将其向1移动。
def_seat_helm_node_4_label		Axis 4 [$[action_throttle_up]]/[$[action_throttle_down]]	轴4[$[action_throttle_up]]/[$[action_throttle_down]]
def_seat_helm_node_4_desc		Outputs a standard value between -1 and 1, controlled using [$[action_throttle_up]] and [$[action_throttle_down]]. [$[action_throttle_down]] causes the output value to move towards -1, and [$[action_throttle_up]] moves it towards 1.	输出一个介于-1和1之间的标准值，使用[$[action_throttle_up]]和[$[action_throttle_down]]进行控制。[$[action_throttle_down]]使输出值向-1移动，[$[action_throttle_up]]将其向1移动。
def_seat_helm_node_5_label		Hotkey 1 [$[action_hotkey_1]]	热键1[$[action_hotkey_1]]
def_seat_helm_node_5_desc		Outputs an on signal when [$[action_hotkey_1]] is held, and off when it is not.	按住[$[action_hotkey_1]]时输出打开信号，不按住时输出关闭信号。
def_seat_helm_node_6_label		Hotkey 2 [$[action_hotkey_2]]	热键2[$[action_hotkey_2]]
def_seat_helm_node_6_desc		Outputs an on signal when [$[action_hotkey_2]] is held, and off when it is not.	按住[$[action_hotkey_2]]时输出打开信号，不按住时输出关闭信号。
def_seat_helm_node_7_label		Hotkey 3 [$[action_hotkey_3]]	热键3[$[action_hotkey_3]]
def_seat_helm_node_7_desc		Outputs an on signal when [$[action_hotkey_3]] is held, and off when it is not.	按住[$[action_hotkey_3]时输出打开信号，不按住时输出关闭信号。
def_seat_helm_node_8_label		Hotkey 4 [$[action_hotkey_4]]	热键4[$[action_hotkey_4]]
def_seat_helm_node_8_desc		Outputs an on signal when [$[action_hotkey_4]] is held, and off when it is not.	按住[$[action_hotkey_4]]时输出打开信号，不按住时输出关闭信号。
def_seat_helm_node_9_label		Hotkey 5 [$[action_hotkey_5]]	热键5[$[action_hotkey_5]]
def_seat_helm_node_9_desc		Outputs an on signal when [$[action_hotkey_5]] is held, and off when it is not.	在按住[$[action_hotkey_5]]时输出打开信号，在不按住时输出关闭信号。
def_seat_helm_node_10_label		Hotkey 6 [$[action_hotkey_6]]	热键6[$[action_hotkey_6]]
def_seat_helm_node_10_desc		Outputs an on signal when [$[action_hotkey_6]] is held, and off when it is not.	在按住[$[action_hotkey_6]]时输出打开信号，在不按住时输出关闭信号。
def_seat_helm_node_11_label		Seat data	座椅数据
def_seat_helm_node_11_desc		Outputs the axis, hotkey and occupied data from the helm. (On/Off 1+ : Hotkeys) (On/Off 32 : Occupied) (Value 1 : [$[action_left]]/[$[action_right]]) (Value 2 : [$[action_up]]/[$[action_down]]) (Value 3 : [$[action_pedal_left]]/[$[action_pedal_right]]) (Value 4 : [$[action_throttle_up]]/[$[action_throttle_down]])	从头盔输出轴、热键和占用数据。(开/关1+：热键)(开/关32：已占用)(值1:[$[action_left]/[$[action_right]](值2:[$[action_up]/[$[action_down]])(值3:[$[action_pedal_left]/[$[action_pedal_right]])(值4:[$[action_throttle_up]/[$[action_throttle_down]])
def_seat_helm_node_12_label		Headset Audio	耳机音频
def_seat_helm_node_12_desc			
def_seat_helm_node_13_label		Headset Audio	耳机音频
def_seat_helm_node_13_desc			
def_seat_hotas_name		Pilot Seat (HOTAS)	驾驶员座椅(HOTAS)
def_seat_hotas_desc		It provides 8 number outputs that produce a standard value ranging from -1 to 1, and 48 on/off outputs. You can get in and out of the pilot seat by interacting with it using [$[action_use_seat]]. Designed for use with HOTAS controllers.	它提供8个输出，产生从-1到1的标准值，以及48个开/关输出。您可以通过使用 [$[action_use_seat]]与飞行员座椅交互来进出。设计用于HOTAS控制器。
def_seat_hotas_s_desc		The pilot seat lets you translate controller presses into output signals that can control logic components.	飞行员座椅可以将控制器压力转换成可以控制逻辑元件的输出信号。
def_seat_hotas_node_0_label		Occupied	占用
def_seat_hotas_node_0_desc		Outputs an on signal if this seat is occupied by a character.	如果这个座位被一个角色占用，则输出一个接通信号。
def_seat_hotas_node_1_label		Axis 1 [$[action_left]]/[$[action_right]]	轴1[$[action_left]]/[$[action_right]]
def_seat_hotas_node_1_desc		Outputs a standard value between -1 and 1, controlled using [$[action_left]] and [$[action_right]]. [$[action_left]] causes the output value to move towards -1, and [$[action_right]] moves it towards 1.	输出一个介于-1和1之间的标准值，使用[$[action_left]]和[$[action_right]]进行控制。[$[action_left]]使输出值向-1移动，[$[action_right]]将其向1移动。
def_seat_hotas_node_2_label		Axis 2 [$[action_up]]/[$[action_down]]	轴2[$[action_up]/[$[action_down]]
def_seat_hotas_node_2_desc		Outputs a standard value between -1 and 1, controlled using [$[action_up]] and [$[action_down]]. [$[action_down]] causes the output value to move towards -1, and [$[action_up]] moves it towards 1.	输出一个介于-1和1之间的标准值，使用[$[action_up]]和[$[action_down]]进行控制。[$[action_down]]使输出值向-1移动，[$[action_up]]将其向1移动。
def_seat_hotas_node_3_label		Axis 3 [$[action_pedal_left]]/[$[action_pedal_right]]	轴3 [$[action_pedal_left]] and [$[action_pedal_right]]
def_seat_hotas_node_3_desc		Outputs a standard value between -1 and 1, controlled using [$[action_pedal_left]] and [$[action_pedal_right]]. [$[action_pedal_left]] causes the output value to move towards -1, and [$[action_pedal_right]] moves it towards 1.	输出一个介于-1和1之间的标准值，使用 [$[action_pedal_left]] and [$[action_pedal_right]]进行控制。[$[action_pedal_left]]使输出值向-1移动，[$[action_pedal_right]]将其向1移动。
def_seat_hotas_node_4_label		Axis 4 [$[action_throttle_up]]/[$[action_throttle_down]]	轴4[$[action_throttle_up]]/[$[action_throttle_down]]
def_seat_hotas_node_4_desc		Outputs a standard value between -1 and 1, controlled using [$[action_throttle_up]] and [$[action_throttle_down]]. [$[action_throttle_down]] causes the output value to move towards -1, and [$[action_throttle_up]] moves it towards 1.	输出一个介于-1和1之间的标准值，使用[$[action_throttle_up]]和[$[action_throttle_down]]进行控制。[$[action_throttle_down]]使输出值向-1移动，[$[action_throttle_up]]将其向1移动。
def_seat_hotas_node_5_label		Axis 5	轴5
def_seat_hotas_node_5_desc		Outputs a standard value between -1 and 1, controlled using the controller axis.	输出一个介于-1和1之间的标准值，由控制器轴控制。
def_seat_hotas_node_6_label		Axis 6	轴6
def_seat_hotas_node_6_desc		Outputs a standard value between -1 and 1, controlled using the controller axis.	输出一个介于-1和1之间的标准值，由控制器轴控制。
def_seat_hotas_node_7_label		Axis 7	轴7
def_seat_hotas_node_7_desc		Outputs a standard value between -1 and 1, controlled using the controller axis.	输出一个介于-1和1之间的标准值，由控制器轴控制。
def_seat_hotas_node_8_label		Axis 8	轴8
def_seat_hotas_node_8_desc		Outputs a standard value between -1 and 1, controlled using the controller axis.	输出一个介于-1和1之间的标准值，由控制器轴控制。
def_seat_hotas_node_9_label		Hotkey 1 [$[action_hotkey_1]]	热键1[$[action_hotkey_1]]
def_seat_hotas_node_9_desc		Outputs an on signal when [$[action_hotkey_1]] is held, and off when it is not.	按住[$[action_hotkey_1]]时输出打开信号，不按住时输出关闭信号。
def_seat_hotas_node_10_label		Hotkey 2 [$[action_hotkey_2]]	热键2[$[action_hotkey_2]]
def_seat_hotas_node_10_desc		Outputs an on signal when [$[action_hotkey_2]] is held, and off when it is not.	按住[$[action_hotkey_2]]时输出打开信号，不按住时输出关闭信号。
def_seat_hotas_node_11_label		Hotkey 3 [$[action_hotkey_3]]	热键3[$[action_hotkey_3]]
def_seat_hotas_node_11_desc		Outputs an on signal when [$[action_hotkey_3]] is held, and off when it is not.	按住[$[action_hotkey_3]时输出打开信号，不按住时输出关闭信号。
def_seat_hotas_node_12_label		Hotkey 4 [$[action_hotkey_4]]	热键4[$[action_hotkey_4]]
